2024-09-17 14:59:51,168 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:198] - INFO: Logging to log_rdpo/2024_09_17_14_50_24/swapped_noise1.0_[1,1,1]_2022
2024-09-17 14:59:51,170 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: (IB) Seed: 2022
2024-09-17 14:59:51,171 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Data: 300
2024-09-17 14:59:51,345 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:296] - INFO: MLE reward loss: 0.3429, l2 distance: 29.8423, acc: 0.82.
2024-09-17 14:59:51,346 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-09-17 14:59:51,347 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: MLE reward parameter: [14.11166716  6.22125723 12.16457928  6.6426602 ]
2024-09-17 14:59:51,580 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:313] - INFO: Learned oracle reward: 3.5898, 3.8487, 3.1982
2024-09-17 14:59:51,854 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1297] - INFO: unique_group_ids: {0, 1, 2}
2024-09-17 14:59:52,496 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  0, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0340, live_grad: 0.0000, reward_err: 0.0561, 0.0380, 0.0266, KL_dist: 0.2609, 0.1621, 0.1673, param: [3.31794486 1.33450947 4.61657226 4.15232748], weights: [0.33360765 0.33292084 0.33347151], train_wt_loss:  0.4689, val_wt_loss: 0.4828, train_grp_loss: [0.56395343 0.35769462 0.52312833], val_grp_loss: [0.55626795 0.36101401 0.52425212], train_hist_grp_loss: [0.56397062 0.35788553 0.52315607], cur_train_grp_loss: [0.56397062 0.35788553 0.52315607], max_reward_err:  0.0561, max_reward_err_index: 0, max_kl_dist:  0.2609, max_kl_dist_index: 0, max_train_grp_loss:  0.5640, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5563, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5640, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:23,408 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1100, train_loss:  0.0014, val_loss:  0.0004, grad_norm: 0.0262, live_grad: 0.0000, reward_err: 0.0452, 0.0293, 0.0174, KL_dist: 0.3486, 0.2531, 0.2543, param: [4.1673534  2.99558503 5.23559575 4.67409517], weights: [0.5871726  0.04935666 0.36347074], train_wt_loss:  0.4869, val_wt_loss: 0.5030, train_grp_loss: [0.52675411 0.32940462 0.48257226], val_grp_loss: [0.51957934 0.33891612 0.48532442], train_hist_grp_loss: [603.0639125  355.43930116 555.10191063], cur_train_grp_loss: [0.52679679 0.32934728 0.48261348], max_reward_err:  0.0452, max_reward_err_index: 0, max_kl_dist:  0.3486, max_kl_dist_index: 0, max_train_grp_loss:  0.5268, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5196, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5268, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:26,207 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1200, train_loss:  0.0015, val_loss:  0.0004, grad_norm: 0.0264, live_grad: 0.0000, reward_err: 0.0452, 0.0304, 0.0174, KL_dist: 0.3520, 0.2694, 0.2599, param: [4.20275403 3.14504816 5.24684494 4.79155365], weights: [0.60180538 0.04173818 0.35645644], train_wt_loss:  0.4881, val_wt_loss: 0.5008, train_grp_loss: [0.52247138 0.33550236 0.47845802], val_grp_loss: [0.51530359 0.34546128 0.48170705], train_hist_grp_loss: [655.52753349 388.67574917 603.15532935], cur_train_grp_loss: [0.52251432 0.33543798 0.47849906], max_reward_err:  0.0452, max_reward_err_index: 0, max_kl_dist:  0.3520, max_kl_dist_index: 0, max_train_grp_loss:  0.5225, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5153, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5225, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:29,022 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1300, train_loss:  0.0015, val_loss:  0.0004, grad_norm: 0.0266, live_grad: 0.0000, reward_err: 0.0414, 0.0314, 0.0149, KL_dist: 0.3553, 0.2865, 0.2656, param: [4.2357445  3.29430987 5.25471617 4.91221454], weights: [0.61549644 0.03560056 0.348903  ], train_wt_loss:  0.4890, val_wt_loss: 0.4982, train_grp_loss: [0.51817351 0.34225614 0.47436894], val_grp_loss: [0.51101483 0.35268805 0.4781268 ], train_hist_grp_loss: [707.56197855 422.55520029 650.79845814], cur_train_grp_loss: [0.51821651 0.34218564 0.47440966], max_reward_err:  0.0414, max_reward_err_index: 0, max_kl_dist:  0.3553, max_kl_dist_index: 0, max_train_grp_loss:  0.5182, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5110, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5182, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:31,832 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1400, train_loss:  0.0015, val_loss:  0.0004, grad_norm: 0.0269, live_grad: 0.0000, reward_err: 0.0402, 0.0330, 0.0140, KL_dist: 0.3588, 0.3042, 0.2715, param: [4.26678165 3.44319907 5.25967233 5.03522408], weights: [0.62836923 0.03065672 0.34097404], train_wt_loss:  0.4896, val_wt_loss: 0.4953, train_grp_loss: [0.51387715 0.34958202 0.47031696], val_grp_loss: [0.50673044 0.36051573 0.47459074], train_hist_grp_loss: [759.16658654 457.13899469 698.03442683], cur_train_grp_loss: [0.51392006 0.34950617 0.47035726], max_reward_err:  0.0402, max_reward_err_index: 0, max_kl_dist:  0.3588, max_kl_dist_index: 0, max_train_grp_loss:  0.5139, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5067, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5139, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:34,638 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1500, train_loss:  0.0015, val_loss:  0.0004, grad_norm: 0.0272, live_grad: 0.0000, reward_err: 0.0380, 0.0337, 0.0124, KL_dist: 0.3624, 0.3226, 0.2777, param: [4.29623093 3.5915627  5.26209854 5.15989693], weights: [0.64052618 0.02667361 0.33280021], train_wt_loss:  0.4900, val_wt_loss: 0.4921, train_grp_loss: [0.50959573 0.35740791 0.46631152], val_grp_loss: [0.50246434 0.36887477 0.47110441], train_hist_grp_loss: [810.3421977  492.48068524 744.86743245], cur_train_grp_loss: [0.50963843 0.35732739 0.46635132], max_reward_err:  0.0380, max_reward_err_index: 0, max_kl_dist:  0.3624, max_kl_dist_index: 0, max_train_grp_loss:  0.5096, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5025, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5096, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:37,444 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1600, train_loss:  0.0015, val_loss:  0.0004, grad_norm: 0.0275, live_grad: 0.0000, reward_err: 0.0366, 0.0337, 0.0114, KL_dist: 0.3662, 0.3414, 0.2841, param: [4.324385   3.73926728 5.26231734 5.28568239], weights: [0.65205074 0.02346441 0.32448485], train_wt_loss:  0.4902, val_wt_loss: 0.4889, train_grp_loss: [0.50534002 0.36567139 0.46235995], val_grp_loss: [0.49822764 0.3777048  0.46767209], train_hist_grp_loss: [861.09085988 528.62711004 791.30250752], cur_train_grp_loss: [0.50538242 0.36558677 0.46239918], max_reward_err:  0.0366, max_reward_err_index: 0, max_kl_dist:  0.3662, max_kl_dist_index: 0, max_train_grp_loss:  0.5053, max_train_grp_loss_index: 0, max_val_grp_loss:  0.4982, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5054, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:40,261 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1700, train_loss:  0.0015, val_loss:  0.0004, grad_norm: 0.0279, live_grad: 0.0000, reward_err: 0.0361, 0.0345, 0.0110, KL_dist: 0.3702, 0.3608, 0.2908, param: [4.35147887 3.8861985  5.26060111 5.41213689], weights: [0.66301009 0.02088074 0.31610917], train_wt_loss:  0.4902, val_wt_loss: 0.4855, train_grp_loss: [0.50111863 0.374318   0.45846784], val_grp_loss: [0.49402914 0.38695296 0.46429696], train_hist_grp_loss: [911.41558646 565.61927234 837.34532847], cur_train_grp_loss: [0.50116065 0.3742298  0.45850645], max_reward_err:  0.0361, max_reward_err_index: 0, max_kl_dist:  0.3702, max_kl_dist_index: 0, max_train_grp_loss:  0.5011, max_train_grp_loss_index: 0, max_val_grp_loss:  0.4940, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5012, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:43,070 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1800, train_loss:  0.0015, val_loss:  0.0004, grad_norm: 0.0282, live_grad: 0.0000, reward_err: 0.0348, 0.0355, 0.0101, KL_dist: 0.3745, 0.3806, 0.2978, param: [4.37770221 4.03225941 5.25718215 5.53890161], weights: [0.67345778 0.01880559 0.30773663], train_wt_loss:  0.4900, val_wt_loss: 0.4820, train_grp_loss: [0.49693837 0.38329987 0.45463939], val_grp_loss: [0.48987576 0.39657255 0.46098134], train_hist_grp_loss: [961.32015926 603.49306566 883.00205957], cur_train_grp_loss: [0.49697995 0.38320853 0.45467735], max_reward_err:  0.0355, max_reward_err_index: 1, max_kl_dist:  0.3806, max_kl_dist_index: 1, max_train_grp_loss:  0.4969, max_train_grp_loss_index: 0, max_val_grp_loss:  0.4899, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.4970, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:45,865 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1900, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0286, live_grad: 0.0000, reward_err: 0.0331, 0.0379, 0.0090, KL_dist: 0.3791, 0.4007, 0.3051, param: [4.40320912 4.17736824 5.2522609  5.66568444], weights: [0.68343612 0.01714733 0.29941656], train_wt_loss:  0.4898, val_wt_loss: 0.4785, train_grp_loss: [0.49280465 0.39257453 0.45087768], val_grp_loss: [0.48577295 0.40652195 0.45772683], train_hist_grp_loss: [1010.80896989  642.27987269  928.27922732], cur_train_grp_loss: [0.49284574 0.39248046 0.45091496], max_reward_err:  0.0379, max_reward_err_index: 1, max_kl_dist:  0.4007, max_kl_dist_index: 1, max_train_grp_loss:  0.4928, max_train_grp_loss_index: 0, max_val_grp_loss:  0.4858, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.4928, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:48,668 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  2000, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0290, live_grad: 0.0000, reward_err: 0.0316, 0.0385, 0.0081, KL_dist: 0.3839, 0.4212, 0.3127, param: [4.42812602 4.32145593 5.24601244 5.79224545], weights: [0.69297828 0.01583465 0.29118708], train_wt_loss:  0.4894, val_wt_loss: 0.4750, train_grp_loss: [0.48872176 0.40210401 0.4471849 ], val_grp_loss: [0.48172497 0.4167637  0.45453447], train_hist_grp_loss: [1059.8868931   682.00705957  973.18362071], cur_train_grp_loss: [0.48876233 0.40200757 0.44722148], max_reward_err:  0.0385, max_reward_err_index: 1, max_kl_dist:  0.4212, max_kl_dist_index: 1, max_train_grp_loss:  0.4887, max_train_grp_loss_index: 0, max_val_grp_loss:  0.4817, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.4888, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:51,489 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  2100, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0293, live_grad: 0.0000, reward_err: 0.0303, 0.0392, 0.0073, KL_dist: 0.3891, 0.4420, 0.3206, param: [4.45255806 4.46446373 5.23859188 5.91838519], weights: [0.70210996 0.01481266 0.28307738], train_wt_loss:  0.4889, val_wt_loss: 0.4714, train_grp_loss: [0.48469311 0.41185401 0.44356255], val_grp_loss: [0.47773514 0.42726368 0.45140484], train_hist_grp_loss: [1108.55918689  722.69838257 1017.72221269], cur_train_grp_loss: [0.48473312 0.41175552 0.44359843], max_reward_err:  0.0392, max_reward_err_index: 1, max_kl_dist:  0.4420, max_kl_dist_index: 1, max_train_grp_loss:  0.4847, max_train_grp_loss_index: 0, max_val_grp_loss:  0.4777, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.4847, max_cur_train_grp_loss_index: 0, 
