2024-10-07 17:28:16,325 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.2,0.1,0.1,2022
2024-10-07 17:28:16,327 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2022
2024-10-07 17:28:16,328 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:28:16,415 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.3214, l2 distance: 25.6155, acc: 0.89.
2024-10-07 17:28:16,416 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:28:16,417 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 4.91492317 13.51244723  6.71533233  9.49961375]
2024-10-07 17:28:16,625 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8530, 6.9304, 3.3326
2024-10-07 17:28:16,849 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:28:18,047 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  13.4334, val_loss:  12.2626, grad_norm: 0.5704, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6510, 0.3482, 0.6813, param: [4.14843583 9.52724086 4.95510366 8.8621961 ], weights: [0.33003072 0.33042461 0.33954466], train_wt_loss:  40.3003, val_wt_loss: 36.7878, train_grp_loss: [11.73152113 15.90071696 11.15160157], val_grp_loss: [10.61699614 14.91775387 11.26897761], train_hist_grp_loss: [0.17243466 0.18436246 0.45663202], cur_train_grp_loss: [0.17243466 0.18436246 0.45663202], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6813, max_kl_dist_index: 2, max_train_grp_loss:  15.9007, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9178, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.4566, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:29,453 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  11, train_loss:  13.4335, val_loss:  12.2614, grad_norm: 0.0012, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6509, 0.3476, 0.6807, param: [4.14915082 9.49862649 4.97134065 8.87552613], weights: [0.3089542  0.31918314 0.37186267], train_wt_loss:  40.3004, val_wt_loss: 36.7841, train_grp_loss: [11.74728897 15.88394074 11.15628617], val_grp_loss: [10.62852546 14.8959182  11.27547904], train_hist_grp_loss: [1.21381612 1.53953609 3.06713188], cur_train_grp_loss: [0.09472676 0.12314081 0.23736112], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8839, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8959, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:30,430 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  12, train_loss:  13.4335, val_loss:  12.2613, grad_norm: 0.0013, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6509, 0.3475, 0.6807, param: [4.14907352 9.49633015 4.97270985 8.87706683], weights: [0.30703536 0.31810275 0.37486189], train_wt_loss:  40.3004, val_wt_loss: 36.7840, train_grp_loss: [11.74840691 15.88277799 11.15657675], val_grp_loss: [10.62929514 14.89447537 11.27596597], train_hist_grp_loss: [1.30855233 1.66266742 3.30449967], cur_train_grp_loss: [0.0947362  0.12313132 0.23736779], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8828, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8945, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:31,437 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  13, train_loss:  13.4335, val_loss:  12.2613, grad_norm: 0.0014, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6509, 0.3475, 0.6806, param: [4.14897227 9.49408497 4.97406074 8.87866327], weights: [0.30511652 0.31701305 0.37787043], train_wt_loss:  40.3004, val_wt_loss: 36.7838, train_grp_loss: [11.74947134 15.88167627 11.15684432], val_grp_loss: [10.63001767 14.893124   11.27643514], train_hist_grp_loss: [1.40329754 1.78578973 3.54187365], cur_train_grp_loss: [0.09474522 0.12312231 0.23737397], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8817, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8931, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:32,445 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  14, train_loss:  13.4335, val_loss:  12.2612, grad_norm: 0.0016, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6509, 0.3475, 0.6806, param: [4.14884703 9.49189102 4.97539321 8.88031562], weights: [0.30319778 0.31591416 0.38088806], train_wt_loss:  40.3004, val_wt_loss: 36.7837, train_grp_loss: [11.75048207 15.88063573 11.15708879], val_grp_loss: [10.63069289 14.89186432 11.27688647], train_hist_grp_loss: [1.49805134 1.9089035  3.77925331], cur_train_grp_loss: [0.0947538  0.12311377 0.23737967], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8806, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8919, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:33,430 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  15, train_loss:  13.4335, val_loss:  12.2612, grad_norm: 0.0017, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6510, 0.3475, 0.6806, param: [4.14869775 9.48974834 4.97670715 8.88202407], weights: [0.30127925 0.31480618 0.38391457], train_wt_loss:  40.3005, val_wt_loss: 36.7836, train_grp_loss: [11.75143889 15.8796565  11.15731006], val_grp_loss: [10.63132066 14.89069657 11.27731988], train_hist_grp_loss: [1.5928133  2.0320092  4.01663818], cur_train_grp_loss: [0.09476195 0.1231057  0.23738487], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8797, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8907, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:34,414 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  16, train_loss:  13.4335, val_loss:  12.2612, grad_norm: 0.0018, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6510, 0.3474, 0.6807, param: [4.14852438 9.48765697 4.97800244 8.88378878], weights: [0.29936104 0.31368922 0.38694974], train_wt_loss:  40.3005, val_wt_loss: 36.7835, train_grp_loss: [11.75234165 15.87873871 11.15750807], val_grp_loss: [10.63190083 14.88962097 11.27773529], train_hist_grp_loss: [1.68758296 2.15510731 4.25402776], cur_train_grp_loss: [0.09476967 0.12309811 0.23738958], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8787, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8896, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:35,400 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  17, train_loss:  13.4335, val_loss:  12.2612, grad_norm: 0.0020, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6510, 0.3474, 0.6807, param: [4.14832687 9.48561696 4.97927895 8.88560991], weights: [0.29744326 0.3125634  0.38999334], train_wt_loss:  40.3005, val_wt_loss: 36.7835, train_grp_loss: [11.75319016 15.87788249 11.15768272], val_grp_loss: [10.63243328 14.88863774 11.27813264], train_hist_grp_loss: [1.78235991 2.27819831 4.49142154], cur_train_grp_loss: [0.09477695 0.123091   0.23739379], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8779, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8886, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:36,384 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  18, train_loss:  13.4335, val_loss:  12.2611, grad_norm: 0.0021, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6511, 0.3474, 0.6807, param: [4.14810518 9.48362833 4.98053657 8.88748762], weights: [0.29552603 0.31142883 0.39304514], train_wt_loss:  40.3006, val_wt_loss: 36.7834, train_grp_loss: [11.75398427 15.87708797 11.15783396], val_grp_loss: [10.63291788 14.88774707 11.27851185], train_hist_grp_loss: [1.8771437  2.40128267 4.72881905], cur_train_grp_loss: [0.09478379 0.12308436 0.2373975 ], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8771, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8877, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:37,406 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  19, train_loss:  13.4335, val_loss:  12.2612, grad_norm: 0.0022, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6511, 0.3474, 0.6807, param: [4.14785927 9.48169111 4.98177518 8.88942204], weights: [0.29360946 0.31028562 0.39610492], train_wt_loss:  40.3006, val_wt_loss: 36.7835, train_grp_loss: [11.75472381 15.87635528 11.15796169], val_grp_loss: [10.63335452 14.8869492  11.27887288], train_hist_grp_loss: [1.9719339  2.52436087 4.96621977], cur_train_grp_loss: [0.0947902  0.1230782  0.23740072], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8764, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8869, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:38,393 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  20, train_loss:  13.4335, val_loss:  12.2612, grad_norm: 0.0023, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6512, 0.3474, 0.6808, param: [4.14758908 9.47980531 4.98299464 8.89141332], weights: [0.29169367 0.3091339  0.39917243], train_wt_loss:  40.3006, val_wt_loss: 36.7835, train_grp_loss: [11.75540863 15.87568452 11.15806588], val_grp_loss: [10.63374308 14.8862443  11.27921566], train_hist_grp_loss: [2.06673006 2.64743339 5.20362321], cur_train_grp_loss: [0.09479616 0.12307252 0.23740344], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8757, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8862, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:39,414 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  21, train_loss:  13.4336, val_loss:  12.2612, grad_norm: 0.0024, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6512, 0.3474, 0.6808, param: [4.14729458 9.47797096 4.98419485 8.89346158], weights: [0.28977876 0.30797378 0.40224746], train_wt_loss:  40.3007, val_wt_loss: 36.7835, train_grp_loss: [11.75603859 15.87507583 11.15814644], val_grp_loss: [10.63408346 14.88563257 11.27954013], train_hist_grp_loss: [2.16153174 2.77050072 5.44102887], cur_train_grp_loss: [0.09480168 0.12306732 0.23740566], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8751, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8856, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
