2024-10-07 17:30:04,332 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.2,0.1,0.1,2023
2024-10-07 17:30:04,334 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2023
2024-10-07 17:30:04,334 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:30:04,424 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2729, l2 distance: 29.4548, acc: 0.92.
2024-10-07 17:30:04,424 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:30:04,425 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 6.99981245 12.85202501  8.22225193 12.39503134]
2024-10-07 17:30:04,635 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8503, 7.1054, 3.3198
2024-10-07 17:30:04,863 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:30:06,058 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.6261, val_loss:  12.2168, grad_norm: 0.4066, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6770, 0.3239, 0.6779, param: [ 4.897829    6.97796199  5.67603919 10.23833146], weights: [0.33073691 0.33110299 0.3381601 ], train_wt_loss:  37.8784, val_wt_loss: 36.6505, train_grp_loss: [11.44552015 13.75359224 13.00478332], val_grp_loss: [12.59390297 12.83047537 11.22426656], train_hist_grp_loss: [0.1342519  0.14531453 0.3562142 ], cur_train_grp_loss: [0.1342519  0.14531453 0.3562142 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6779, max_kl_dist_index: 2, max_train_grp_loss:  13.7536, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8305, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.3562, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:17,538 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  11, train_loss:  12.6263, val_loss:  12.2211, grad_norm: 0.0021, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6762, 0.3235, 0.6762, param: [ 4.88971248  6.93152438  5.70761348 10.23663478], weights: [0.30673848 0.31644472 0.3768168 ], train_wt_loss:  37.8788, val_wt_loss: 36.6632, train_grp_loss: [11.47203819 13.72400656 13.00705011], val_grp_loss: [12.62084794 12.80302939 11.23759177], train_hist_grp_loss: [1.10379792 1.41532833 3.161434  ], cur_train_grp_loss: [0.08823062 0.11534656 0.2550382 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6762, max_kl_dist_index: 0, max_train_grp_loss:  13.7240, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8030, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:18,526 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  12, train_loss:  12.6263, val_loss:  12.2215, grad_norm: 0.0024, live_grad: 0.0000, reward_err: 0.0100, 0.0189, 0.0010, KL_dist: 0.6762, 0.3235, 0.6761, param: [ 4.88874164  6.9274918   5.710402   10.2372009 ], weights: [0.30454699 0.31503588 0.38041713], train_wt_loss:  37.8789, val_wt_loss: 36.6645, train_grp_loss: [11.47402384 13.7218655  13.00713036], val_grp_loss: [12.62290928 12.80119593 11.23861861], train_hist_grp_loss: [1.19204437 1.53065611 3.4164742 ], cur_train_grp_loss: [0.08824645 0.11532779 0.2550402 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6762, max_kl_dist_index: 0, max_train_grp_loss:  13.7219, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8012, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:19,519 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  13, train_loss:  12.6263, val_loss:  12.2219, grad_norm: 0.0026, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6762, 0.3235, 0.6760, param: [ 4.88773097  6.92349034  5.71317641 10.23789122], weights: [0.30235459 0.31361511 0.3840303 ], train_wt_loss:  37.8790, val_wt_loss: 36.6657, train_grp_loss: [11.47593644 13.71981794 13.00718879], val_grp_loss: [12.62490381 12.7994756  11.23961352], train_hist_grp_loss: [1.28030609 1.64596591 3.67151597], cur_train_grp_loss: [0.08826172 0.11530979 0.25504177], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6762, max_kl_dist_index: 0, max_train_grp_loss:  13.7198, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7995, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:20,528 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  14, train_loss:  12.6264, val_loss:  12.2223, grad_norm: 0.0028, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6762, 0.3235, 0.6759, param: [ 4.88668026  6.91951987  5.71593658 10.23870671], weights: [0.30016148 0.31218257 0.38765595], train_wt_loss:  37.8791, val_wt_loss: 36.6670, train_grp_loss: [11.47777549 13.71786438 13.00722522], val_grp_loss: [12.62683106 12.79786908 11.24057625], train_hist_grp_loss: [1.36858252 1.76125849 3.92655889], cur_train_grp_loss: [0.08827643 0.11529259 0.25504292], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6762, max_kl_dist_index: 0, max_train_grp_loss:  13.7179, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7979, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:21,511 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  15, train_loss:  12.6264, val_loss:  12.2228, grad_norm: 0.0030, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6761, 0.3235, 0.6758, param: [ 4.88558926  6.91558028  5.71868241 10.23964833], weights: [0.29796782 0.31073848 0.3912937 ], train_wt_loss:  37.8791, val_wt_loss: 36.6683, train_grp_loss: [11.4795405  13.71600533 13.00723946], val_grp_loss: [12.62869056 12.79637703 11.24150654], train_hist_grp_loss: [1.4568731  1.87653467 4.18160252], cur_train_grp_loss: [0.08829058 0.11527617 0.25504363], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6761, max_kl_dist_index: 0, max_train_grp_loss:  13.7160, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7964, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:22,497 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  16, train_loss:  12.6264, val_loss:  12.2232, grad_norm: 0.0033, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6761, 0.3235, 0.6758, param: [ 4.88445774  6.91167144  5.72141375 10.24071704], weights: [0.2957738  0.30928302 0.39494318], train_wt_loss:  37.8792, val_wt_loss: 36.6696, train_grp_loss: [11.48123098 13.71424129 13.00723133], val_grp_loss: [12.63048183 12.79500017 11.24240415], train_hist_grp_loss: [1.54517726 1.99179521 4.43664643], cur_train_grp_loss: [0.08830416 0.11526055 0.25504391], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6761, max_kl_dist_index: 0, max_train_grp_loss:  13.7142, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7950, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:23,479 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  17, train_loss:  12.6264, val_loss:  12.2236, grad_norm: 0.0035, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6761, 0.3235, 0.6757, param: [ 4.88328547  6.9077932   5.72413048 10.2419138 ], weights: [0.29357961 0.3078164  0.39860399], train_wt_loss:  37.8793, val_wt_loss: 36.6709, train_grp_loss: [11.48284644 13.71257277 13.00720063], val_grp_loss: [12.63220441 12.79373918 11.24326885], train_hist_grp_loss: [1.63349442 2.10704094 4.69169019], cur_train_grp_loss: [0.08831716 0.11524573 0.25504375], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6761, max_kl_dist_index: 0, max_train_grp_loss:  13.7126, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7937, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:24,480 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  18, train_loss:  12.6265, val_loss:  12.2241, grad_norm: 0.0037, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6761, 0.3235, 0.6757, param: [ 4.8820722   6.90394542  5.72683247 10.24323957], weights: [0.29138543 0.30633882 0.40227575], train_wt_loss:  37.8794, val_wt_loss: 36.6723, train_grp_loss: [11.4843864  13.71100029 13.0071472 ], val_grp_loss: [12.63385783 12.79259476 11.24410039], train_hist_grp_loss: [1.72182401 2.22227264 4.94673334], cur_train_grp_loss: [0.08832959 0.1152317  0.25504315], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6761, max_kl_dist_index: 0, max_train_grp_loss:  13.7110, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7926, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:25,467 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  19, train_loss:  12.6265, val_loss:  12.2245, grad_norm: 0.0039, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6761, 0.3235, 0.6756, param: [ 4.88081771  6.90012795  5.72951958 10.24469532], weights: [0.28919144 0.30485049 0.40595807], train_wt_loss:  37.8795, val_wt_loss: 36.6736, train_grp_loss: [11.48585037 13.70952437 13.00707084], val_grp_loss: [12.63544164 12.79156763 11.24489854], train_hist_grp_loss: [1.81016544 2.33749113 5.20177544], cur_train_grp_loss: [0.08834143 0.11521849 0.2550421 ], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6761, max_kl_dist_index: 0, max_train_grp_loss:  13.7095, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7916, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:26,459 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  20, train_loss:  12.6266, val_loss:  12.2250, grad_norm: 0.0042, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6762, 0.3236, 0.6756, param: [ 4.87952174  6.89634061  5.73219168 10.24628201], weights: [0.28699784 0.30335162 0.40965055], train_wt_loss:  37.8797, val_wt_loss: 36.6750, train_grp_loss: [11.4872379  13.70814553 13.00697139], val_grp_loss: [12.63695538 12.79065849 11.2456631 ], train_hist_grp_loss: [1.89851814 2.45269722 5.45681604], cur_train_grp_loss: [0.0883527  0.11520609 0.2550406 ], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6762, max_kl_dist_index: 0, max_train_grp_loss:  13.7081, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7907, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:27,493 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  21, train_loss:  12.6266, val_loss:  12.2255, grad_norm: 0.0044, live_grad: 0.0000, reward_err: 0.0100, 0.0186, 0.0010, KL_dist: 0.6762, 0.3236, 0.6756, param: [ 4.87818407  6.89258324  5.73484861 10.2480006 ], weights: [0.28480481 0.30184242 0.41335277], train_wt_loss:  37.8798, val_wt_loss: 36.6764, train_grp_loss: [11.48854852 13.70686429 13.00684867], val_grp_loss: [12.6383986  12.78986807 11.24639383], train_hist_grp_loss: [1.98688151 2.56789172 5.7118547 ], cur_train_grp_loss: [0.08836337 0.1151945  0.25503865], max_reward_err:  0.0186, max_reward_err_index: 1, max_kl_dist:  0.6762, max_kl_dist_index: 0, max_train_grp_loss:  13.7069, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7899, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
