2024-10-07 17:17:22,590 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.1,0.1,1,2022
2024-10-07 17:17:22,592 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2022
2024-10-07 17:17:22,592 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:17:22,681 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.3214, l2 distance: 25.6155, acc: 0.89.
2024-10-07 17:17:22,682 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:17:22,683 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 4.91492317 13.51244723  6.71533233  9.49961375]
2024-10-07 17:17:22,896 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8530, 6.9304, 3.3326
2024-10-07 17:17:23,120 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:17:24,371 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  13.4339, val_loss:  12.2721, grad_norm: 0.5704, live_grad: 0.0000, reward_err: 0.0031, 0.0319, 0.0015, KL_dist: 0.6559, 0.3522, 0.6882, param: [4.11786407 9.56583272 4.94852636 8.93320827], weights: [0.29933897 0.3029308  0.39773023], train_wt_loss:  40.3017, val_wt_loss: 36.8163, train_grp_loss: [11.681894   15.95789746 11.12859769], val_grp_loss: [10.57186309 15.00632368 11.25447452], train_hist_grp_loss: [0.17243466 0.18436246 0.45663202], cur_train_grp_loss: [0.17243466 0.18436246 0.45663202], max_reward_err:  0.0319, max_reward_err_index: 1, max_kl_dist:  0.6882, max_kl_dist_index: 2, max_train_grp_loss:  15.9579, max_train_grp_loss_index: 1, max_val_grp_loss:  15.0063, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.4566, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:35,941 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  11, train_loss:  13.4484, val_loss:  12.3330, grad_norm: 0.0376, live_grad: 0.0000, reward_err: 0.0027, 0.0354, 0.0018, KL_dist: 0.6816, 0.3724, 0.7230, param: [3.95265272 9.58570088 4.9555377  9.43122423], weights: [0.11399747 0.16092905 0.72507348], train_wt_loss:  40.3453, val_wt_loss: 36.9989, train_grp_loss: [11.48581907 16.21525925 11.03228133], val_grp_loss: [10.38336039 15.42229649 11.21173361], train_hist_grp_loss: [1.20508616 1.54987346 3.05518291], cur_train_grp_loss: [0.0929432  0.12529446 0.23507402], max_reward_err:  0.0354, max_reward_err_index: 1, max_kl_dist:  0.7230, max_kl_dist_index: 2, max_train_grp_loss:  16.2153, max_train_grp_loss_index: 1, max_val_grp_loss:  15.4223, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2351, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:36,933 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  12, train_loss:  13.4530, val_loss:  12.3462, grad_norm: 0.0462, live_grad: 0.0000, reward_err: 0.0023, 0.0363, 0.0022, KL_dist: 0.6854, 0.3761, 0.7286, param: [3.92394965 9.607325   4.94039334 9.49663572], weights: [0.10213677 0.14903367 0.74882956], train_wt_loss:  40.3591, val_wt_loss: 37.0385, train_grp_loss: [11.44430332 16.27195742 11.01562584], val_grp_loss: [10.34699144 15.50823787 11.20224735], train_hist_grp_loss: [1.29771373 1.67557315 3.2899123 ], cur_train_grp_loss: [0.09262757 0.12569968 0.23472939], max_reward_err:  0.0363, max_reward_err_index: 1, max_kl_dist:  0.7286, max_kl_dist_index: 2, max_train_grp_loss:  16.2720, max_train_grp_loss_index: 1, max_val_grp_loss:  15.5082, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2347, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:37,941 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  13, train_loss:  13.4586, val_loss:  12.3607, grad_norm: 0.0558, live_grad: 0.0000, reward_err: 0.0020, 0.0377, 0.0025, KL_dist: 0.6892, 0.3800, 0.7343, param: [3.8935569  9.63050022 4.92282695 9.56247183], weights: [0.0912379  0.13771362 0.77104848], train_wt_loss:  40.3757, val_wt_loss: 37.0822, train_grp_loss: [11.40097248 16.33258943 10.99878369], val_grp_loss: [10.30939771 15.59943242 11.19277088], train_hist_grp_loss: [1.3900065  1.80171235 3.52428732], cur_train_grp_loss: [0.09229277 0.1261392  0.23437502], max_reward_err:  0.0377, max_reward_err_index: 1, max_kl_dist:  0.7343, max_kl_dist_index: 2, max_train_grp_loss:  16.3326, max_train_grp_loss_index: 1, max_val_grp_loss:  15.5994, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2344, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:38,925 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  14, train_loss:  13.4650, val_loss:  12.3766, grad_norm: 0.0664, live_grad: 0.0000, reward_err: 0.0020, 0.0384, 0.0025, KL_dist: 0.6930, 0.3840, 0.7402, param: [3.86169344 9.65488156 4.90302617 9.62798905], weights: [0.08127614 0.12700472 0.79171913], train_wt_loss:  40.3951, val_wt_loss: 37.1297, train_grp_loss: [11.35637406 16.39663767 10.98200466], val_grp_loss: [10.2710595  15.69502625 11.18350261], train_hist_grp_loss: [1.48194983 1.92832157 3.75830399], cur_train_grp_loss: [0.09194333 0.12660922 0.23401667], max_reward_err:  0.0384, max_reward_err_index: 1, max_kl_dist:  0.7402, max_kl_dist_index: 2, max_train_grp_loss:  16.3966, max_train_grp_loss_index: 1, max_val_grp_loss:  15.6950, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2340, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:39,931 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  15, train_loss:  13.4725, val_loss:  12.3936, grad_norm: 0.0779, live_grad: 0.0000, reward_err: 0.0019, 0.0395, 0.0026, KL_dist: 0.6967, 0.3881, 0.7460, param: [3.82859474 9.68017224 4.88121269 9.69248812], weights: [0.07221595 0.11692757 0.81085648], train_wt_loss:  40.4175, val_wt_loss: 37.1808, train_grp_loss: [11.31102714 16.46356682 10.96551145], val_grp_loss: [10.23242344 15.79415207 11.17461395], train_hist_grp_loss: [1.57353349 2.05542729 3.99196366], cur_train_grp_loss: [0.09158366 0.12710572 0.23365967], max_reward_err:  0.0395, max_reward_err_index: 1, max_kl_dist:  0.7460, max_kl_dist_index: 2, max_train_grp_loss:  16.4636, max_train_grp_loss_index: 1, max_val_grp_loss:  15.7942, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2337, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:40,937 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  16, train_loss:  13.4809, val_loss:  12.4117, grad_norm: 0.0902, live_grad: 0.0000, reward_err: 0.0018, 0.0404, 0.0028, KL_dist: 0.7004, 0.3923, 0.7518, param: [3.79450794 9.70612512 4.85763542 9.75533038], weights: [0.0640134  0.10748946 0.82849714], train_wt_loss:  40.4427, val_wt_loss: 37.2352, train_grp_loss: [11.26541223 16.53283277 10.94949574], val_grp_loss: [10.19389446 15.89594612 11.16624626], train_hist_grp_loss: [1.66475145 2.18305184 4.22527242], cur_train_grp_loss: [0.09121796 0.12762455 0.23330875], max_reward_err:  0.0404, max_reward_err_index: 1, max_kl_dist:  0.7518, max_kl_dist_index: 2, max_train_grp_loss:  16.5328, max_train_grp_loss_index: 1, max_val_grp_loss:  15.8959, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2333, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:41,939 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  17, train_loss:  13.4903, val_loss:  12.4308, grad_norm: 0.1032, live_grad: 0.0000, reward_err: 0.0017, 0.0413, 0.0029, KL_dist: 0.7039, 0.3965, 0.7575, param: [3.75968644 9.73254065 4.83256277 9.81595035], weights: [0.05661855 0.09868653 0.84469492], train_wt_loss:  40.4708, val_wt_loss: 37.2925, train_grp_loss: [11.2199639  16.60389138 10.93411632], val_grp_loss: [10.15583044 15.99956387 11.15850964], train_hist_grp_loss: [1.75560155 2.31121333 4.45824041], cur_train_grp_loss: [0.0908501  0.12816149 0.23296799], max_reward_err:  0.0413, max_reward_err_index: 1, max_kl_dist:  0.7575, max_kl_dist_index: 2, max_train_grp_loss:  16.6039, max_train_grp_loss_index: 1, max_val_grp_loss:  15.9996, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2330, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:42,961 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  18, train_loss:  13.5005, val_loss:  12.4508, grad_norm: 0.1168, live_grad: 0.0000, reward_err: 0.0017, 0.0413, 0.0029, KL_dist: 0.7074, 0.4008, 0.7631, param: [3.72438427 9.75926209 4.8062744  9.87386442], weights: [0.04997756 0.09050586 0.85951658], train_wt_loss:  40.5016, val_wt_loss: 37.3523, train_grp_loss: [11.17506595 16.67620689 10.91949861], val_grp_loss: [10.11853931 16.10419396 11.15148329], train_hist_grp_loss: [1.84608513 2.43992567 4.69088119], cur_train_grp_loss: [0.09048358 0.12871234 0.23264077], max_reward_err:  0.0413, max_reward_err_index: 1, max_kl_dist:  0.7631, max_kl_dist_index: 2, max_train_grp_loss:  16.6762, max_train_grp_loss_index: 1, max_val_grp_loss:  16.1042, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2326, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:43,960 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  19, train_loss:  13.5116, val_loss:  12.4714, grad_norm: 0.1309, live_grad: 0.0000, reward_err: 0.0016, 0.0426, 0.0032, KL_dist: 0.7106, 0.4050, 0.7685, param: [3.6888506  9.78616901 4.77905317 9.92867594], weights: [0.04403456 0.0829275  0.87303795], train_wt_loss:  40.5347, val_wt_loss: 37.4142, train_grp_loss: [11.13104902 16.74925977 10.90573572], val_grp_loss: [10.08227851 16.20907031 11.14521715], train_hist_grp_loss: [1.93620663 2.56919859 4.92321094], cur_train_grp_loss: [0.0901215  0.12927292 0.23232976], max_reward_err:  0.0426, max_reward_err_index: 1, max_kl_dist:  0.7685, max_kl_dist_index: 2, max_train_grp_loss:  16.7493, max_train_grp_loss_index: 1, max_val_grp_loss:  16.2091, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2323, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:44,981 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  20, train_loss:  13.5234, val_loss:  12.4925, grad_norm: 0.1452, live_grad: 0.0000, reward_err: 0.0014, 0.0442, 0.0036, KL_dist: 0.7138, 0.4093, 0.7738, param: [3.65332465 9.81316968 4.75117756 9.98007667], weights: [0.03873322 0.07592624 0.88534054], train_wt_loss:  40.5701, val_wt_loss: 37.4776, train_grp_loss: [11.08819037 16.82255397 10.89289054], val_grp_loss: [10.04725613 16.31348193 11.13973462], train_hist_grp_loss: [2.02597315 2.69903782 5.15524787], cur_train_grp_loss: [0.08976652 0.12983922 0.23203693], max_reward_err:  0.0442, max_reward_err_index: 1, max_kl_dist:  0.7738, max_kl_dist_index: 2, max_train_grp_loss:  16.8226, max_train_grp_loss_index: 1, max_val_grp_loss:  16.3135, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2320, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:45,992 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  21, train_loss:  13.5358, val_loss:  12.5140, grad_norm: 0.1597, live_grad: 0.0000, reward_err: 0.0012, 0.0450, 0.0039, KL_dist: 0.7167, 0.4134, 0.7788, param: [ 3.6180312   9.84019343  4.72291507 10.02784539], weights: [0.03401803 0.06947325 0.89650873], train_wt_loss:  40.6074, val_wt_loss: 37.5421, train_grp_loss: [11.04671531 16.89562325 10.88099857], val_grp_loss: [10.01363359 16.41678057 11.13503585], train_hist_grp_loss: [2.11539404 2.82944521 5.3870115 ], cur_train_grp_loss: [0.08942089 0.1304074  0.23176363], max_reward_err:  0.0450, max_reward_err_index: 1, max_kl_dist:  0.7788, max_kl_dist_index: 2, max_train_grp_loss:  16.8956, max_train_grp_loss_index: 1, max_val_grp_loss:  16.4168, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2318, max_cur_train_grp_loss_index: 2, 
