2024-09-17 14:50:27,038 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:198] - INFO: Logging to log_rdpo/2024_09_17_14_50_24/swapped_noise1.0_[1,1,1]_2021
2024-09-17 14:50:27,040 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: (IB) Seed: 2021
2024-09-17 14:50:27,041 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Data: 300
2024-09-17 14:50:27,214 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:296] - INFO: MLE reward loss: 0.3566, l2 distance: 29.5613, acc: 0.82.
2024-09-17 14:50:27,215 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-09-17 14:50:27,216 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: MLE reward parameter: [12.9300958   5.57206545 13.55993407  6.18568546]
2024-09-17 14:50:27,450 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:313] - INFO: Learned oracle reward: 3.5203, 3.8700, 3.1356
2024-09-17 14:50:27,867 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1297] - INFO: unique_group_ids: {0, 1, 2}
2024-09-17 14:50:28,492 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  0, train_loss:  0.0017, val_loss:  0.0005, grad_norm: 0.0310, live_grad: 0.0000, reward_err: 0.1132, 0.0010, 0.0692, KL_dist: 0.2104, 0.0058, 0.1125, param: [2.9868533  1.21238081 2.67089149 0.51614833], weights: [0.33374103 0.33272764 0.33353132], train_wt_loss:  0.5107, val_wt_loss: 0.5256, train_grp_loss: [0.64781343 0.34361164 0.58492129], val_grp_loss: [0.6346728  0.35784096 0.59480549], train_hist_grp_loss: [0.64786126 0.343753   0.58500575], cur_train_grp_loss: [0.64786126 0.343753   0.58500575], max_reward_err:  0.1132, max_reward_err_index: 0, max_kl_dist:  0.2104, max_kl_dist_index: 0, max_train_grp_loss:  0.6478, max_train_grp_loss_index: 0, max_val_grp_loss:  0.6347, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6479, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:58,825 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1100, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0254, live_grad: 0.0000, reward_err: 0.0647, 0.0159, 0.0286, KL_dist: 0.2074, 0.0665, 0.1186, param: [3.70110956 2.68045107 3.63549575 2.27387819], weights: [0.67247141 0.02453927 0.30298932], train_wt_loss:  0.5819, val_wt_loss: 0.5473, train_grp_loss: [0.58768787 0.3321153  0.51271461], val_grp_loss: [0.57171293 0.31274262 0.52988679], train_hist_grp_loss: [681.53792893 350.46944005 601.81172407], cur_train_grp_loss: [0.5877468  0.33203486 0.51277021], max_reward_err:  0.0647, max_reward_err_index: 0, max_kl_dist:  0.2074, max_kl_dist_index: 0, max_train_grp_loss:  0.5877, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5717, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5877, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:01,560 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1200, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0261, live_grad: 0.0000, reward_err: 0.0624, 0.0181, 0.0269, KL_dist: 0.2049, 0.0796, 0.1190, param: [3.72285535 2.83408174 3.66396687 2.4458742 ], weights: [0.691297   0.01967603 0.28902697], train_wt_loss:  0.5844, val_wt_loss: 0.5442, train_grp_loss: [0.58180585 0.34074161 0.50722828], val_grp_loss: [0.56585079 0.31706344 0.52483977], train_hist_grp_loss: [740.01535776 384.09850147 652.81040366], cur_train_grp_loss: [0.58186454 0.3406498  0.50728243], max_reward_err:  0.0624, max_reward_err_index: 0, max_kl_dist:  0.2049, max_kl_dist_index: 0, max_train_grp_loss:  0.5818, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5659, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5819, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:04,282 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1300, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0268, live_grad: 0.0000, reward_err: 0.0592, 0.0214, 0.0245, KL_dist: 0.2027, 0.0938, 0.1199, param: [3.7424686  2.98822851 3.68751542 2.61796198], weights: [0.70887868 0.01597577 0.27514555], train_wt_loss:  0.5864, val_wt_loss: 0.5408, train_grp_loss: [0.57595572 0.35045774 0.50188657], val_grp_loss: [0.56004543 0.32233116 0.51991232], train_hist_grp_loss: [797.90603252 418.64491443 703.26761603], cur_train_grp_loss: [0.57601402 0.35035549 0.50193927], max_reward_err:  0.0592, max_reward_err_index: 0, max_kl_dist:  0.2027, max_kl_dist_index: 0, max_train_grp_loss:  0.5760, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5600, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5760, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:07,003 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1400, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0277, live_grad: 0.0000, reward_err: 0.0558, 0.0246, 0.0221, KL_dist: 0.2010, 0.1091, 0.1214, param: [3.76033724 3.14252491 3.70669076 2.7898169 ], weights: [0.72533665 0.01315272 0.26151063], train_wt_loss:  0.5878, val_wt_loss: 0.5371, train_grp_loss: [0.57015154 0.36117357 0.49668827], val_grp_loss: [0.5543082  0.32847249 0.51510494], train_hist_grp_loss: [855.21386443 454.21315302 753.19776854], cur_train_grp_loss: [0.57020932 0.36106174 0.49673955], max_reward_err:  0.0558, max_reward_err_index: 0, max_kl_dist:  0.2010, max_kl_dist_index: 0, max_train_grp_loss:  0.5702, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5543, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5702, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:09,755 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1500, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0286, live_grad: 0.0000, reward_err: 0.0531, 0.0281, 0.0203, KL_dist: 0.1998, 0.1253, 0.1234, param: [3.77675942 3.29667506 3.72196469 2.96117314], weights: [0.74076699 0.01099274 0.24824027], train_wt_loss:  0.5888, val_wt_loss: 0.5333, train_grp_loss: [0.56440449 0.37280444 0.49163163], val_grp_loss: [0.54864791 0.33541884 0.51041744], train_hist_grp_loss: [911.94402394 490.89895188 802.61512041], cur_train_grp_loss: [0.56446165 0.37268387 0.4916815 ], max_reward_err:  0.0531, max_reward_err_index: 0, max_kl_dist:  0.1998, max_kl_dist_index: 0, max_train_grp_loss:  0.5644, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5486, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5645, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:12,516 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1600, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0296, live_grad: 0.0000, reward_err: 0.0509, 0.0296, 0.0188, KL_dist: 0.1991, 0.1424, 0.1261, param: [3.79196631 3.45044076 3.73374785 3.1318147 ], weights: [0.75524727 0.00933636 0.23541636], train_wt_loss:  0.5893, val_wt_loss: 0.5293, train_grp_loss: [0.55872336 0.38527102 0.4867143 ], val_grp_loss: [0.54307121 0.34310607 0.505849  ], train_hist_grp_loss: [968.10267658 528.78984542 851.53372549], cur_train_grp_loss: [0.55877982 0.38514246 0.48676279], max_reward_err:  0.0509, max_reward_err_index: 0, max_kl_dist:  0.1991, max_kl_dist_index: 0, max_train_grp_loss:  0.5587, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5431, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5588, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:15,254 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1700, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0305, live_grad: 0.0000, reward_err: 0.0471, 0.0316, 0.0164, KL_dist: 0.1989, 0.1603, 0.1293, param: [3.8061392  3.60363013 3.74240211 3.3015667 ], weights: [0.76884125 0.00806532 0.22309343], train_wt_loss:  0.5893, val_wt_loss: 0.5253, train_grp_loss: [0.55311498 0.39849893 0.48193352], val_grp_loss: [0.53758306 0.35147421 0.50139828], train_hist_grp_loss: [1023.69676706  567.96568216  899.96738191], cur_train_grp_loss: [0.55317068 0.39836311 0.48198066], max_reward_err:  0.0471, max_reward_err_index: 0, max_kl_dist:  0.1989, max_kl_dist_index: 0, max_train_grp_loss:  0.5531, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5376, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5532, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:17,996 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1800, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0315, live_grad: 0.0000, reward_err: 0.0421, 0.0339, 0.0133, KL_dist: 0.1994, 0.1791, 0.1332, param: [3.81942238 3.75608795 3.74825008 3.47028742], weights: [0.78160252 0.00709222 0.21130525], train_wt_loss:  0.5891, val_wt_loss: 0.5212, train_grp_loss: [0.54758467 0.4124185  0.47728616], val_grp_loss: [0.53218705 0.3604671  0.49706349], train_hist_grp_loss: [1078.73384551  608.49910924  947.92959174], cur_train_grp_loss: [0.54763957 0.4122761  0.47733198], max_reward_err:  0.0421, max_reward_err_index: 0, max_kl_dist:  0.1994, max_kl_dist_index: 0, max_train_grp_loss:  0.5476, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5322, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5476, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:20,724 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1900, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0325, live_grad: 0.0000, reward_err: 0.0381, 0.0370, 0.0108, KL_dist: 0.2004, 0.1986, 0.1377, param: [3.83193289 3.90768762 3.75158238 3.63786139], weights: [0.79357729 0.00635278 0.20006993], train_wt_loss:  0.5885, val_wt_loss: 0.5171, train_grp_loss: [0.54213651 0.42696438 0.47276883], val_grp_loss: [0.5268857  0.37003208 0.4928425 ], train_hist_grp_loss: [1133.22192962  650.45602306  995.43353101], cur_train_grp_loss: [0.54219057 0.42681602 0.47281337], max_reward_err:  0.0381, max_reward_err_index: 0, max_kl_dist:  0.2004, max_kl_dist_index: 0, max_train_grp_loss:  0.5421, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5269, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5422, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:23,444 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  2000, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0334, live_grad: 0.0000, reward_err: 0.0345, 0.0409, 0.0088, KL_dist: 0.2020, 0.2187, 0.1428, param: [3.84376779 4.05832458 3.75266322 3.80419346], weights: [0.80480625 0.00580006 0.1893937 ], train_wt_loss:  0.5876, val_wt_loss: 0.5130, train_grp_loss: [0.53677363 0.44207514 0.46837801], val_grp_loss: [0.52168072 0.38011964 0.48873297], train_hist_grp_loss: [1187.16939641  693.89598274 1042.49202955], cur_train_grp_loss: [0.53682683 0.44192143 0.4684213 ], max_reward_err:  0.0409, max_reward_err_index: 1, max_kl_dist:  0.2187, max_kl_dist_index: 1, max_train_grp_loss:  0.5368, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5217, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5368, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:51:26,173 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  2100, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0344, live_grad: 0.0000, reward_err: 0.0324, 0.0450, 0.0076, KL_dist: 0.2042, 0.2395, 0.1485, param: [3.85500986 4.20791085 3.75173486 3.96920377], weights: [0.81532581 0.00540035 0.17927383], train_wt_loss:  0.5864, val_wt_loss: 0.5089, train_grp_loss: [0.53149844 0.4576929  0.46411008], val_grp_loss: [0.51657321 0.39068301 0.48473238], train_hist_grp_loss: [1240.58489829  738.87258376 1089.11755912], cur_train_grp_loss: [0.53155075 0.45753439 0.46415216], max_reward_err:  0.0450, max_reward_err_index: 1, max_kl_dist:  0.2395, max_kl_dist_index: 1, max_train_grp_loss:  0.5315, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5166, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5316, max_cur_train_grp_loss_index: 0, 
