2024-10-07 17:19:12,513 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.1,0.1,1,2023
2024-10-07 17:19:12,515 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2023
2024-10-07 17:19:12,516 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:19:12,605 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2729, l2 distance: 29.4548, acc: 0.92.
2024-10-07 17:19:12,606 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:19:12,606 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 6.99981245 12.85202501  8.22225193 12.39503134]
2024-10-07 17:19:12,814 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8503, 7.1054, 3.3198
2024-10-07 17:19:13,044 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:19:14,350 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.6263, val_loss:  12.2213, grad_norm: 0.4066, live_grad: 0.0000, reward_err: 0.0092, 0.0189, 0.0010, KL_dist: 0.6793, 0.3255, 0.6811, param: [ 4.86984388  6.96415822  5.68975979 10.30138106], weights: [0.30678156 0.31019421 0.38302423], train_wt_loss:  37.8789, val_wt_loss: 36.6638, train_grp_loss: [11.42332967 13.78302986 12.99372611], val_grp_loss: [12.57498377 12.87149034 11.21534873], train_hist_grp_loss: [0.1342519  0.14531453 0.3562142 ], cur_train_grp_loss: [0.1342519  0.14531453 0.3562142 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6811, max_kl_dist_index: 2, max_train_grp_loss:  13.7830, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8715, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.3562, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:25,777 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  11, train_loss:  12.6632, val_loss:  12.3353, grad_norm: 0.0523, live_grad: 0.0000, reward_err: 0.0092, 0.0250, 0.0026, KL_dist: 0.7132, 0.3510, 0.7262, param: [ 4.47621554  6.60064059  5.87939432 11.27983797], weights: [0.09825891 0.13642383 0.76531725], train_wt_loss:  37.9897, val_wt_loss: 37.0059, train_grp_loss: [11.16406215 14.21899056 12.85460176], val_grp_loss: [12.35905259 13.50318    11.14011862], train_hist_grp_loss: [1.09791732 1.42607782 3.15060182], cur_train_grp_loss: [0.08636035 0.11860219 0.25253103], max_reward_err:  0.0250, max_reward_err_index: 1, max_kl_dist:  0.7262, max_kl_dist_index: 2, max_train_grp_loss:  14.2190, max_train_grp_loss_index: 1, max_val_grp_loss:  13.5032, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2525, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:26,794 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  12, train_loss:  12.6767, val_loss:  12.3607, grad_norm: 0.0645, live_grad: 0.0000, reward_err: 0.0089, 0.0263, 0.0026, KL_dist: 0.7202, 0.3568, 0.7362, param: [ 4.40971762  6.56357314  5.8794259  11.46830678], weights: [0.08596462 0.12343396 0.79060142], train_wt_loss:  38.0301, val_wt_loss: 37.0821, train_grp_loss: [11.0962625  14.33804615 12.82871281], val_grp_loss: [12.29756716 13.65981915 11.12077721], train_hist_grp_loss: [1.18379472 1.54556514 3.40265284], cur_train_grp_loss: [0.0858774  0.11948732 0.25205101], max_reward_err:  0.0263, max_reward_err_index: 1, max_kl_dist:  0.7362, max_kl_dist_index: 2, max_train_grp_loss:  14.3380, max_train_grp_loss_index: 1, max_val_grp_loss:  13.6598, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2521, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:27,864 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  13, train_loss:  12.6936, val_loss:  12.3906, grad_norm: 0.0784, live_grad: 0.0000, reward_err: 0.0088, 0.0275, 0.0026, KL_dist: 0.7279, 0.3633, 0.7471, param: [ 4.33897966  6.5229545   5.8763627  11.67068447], weights: [0.0749245  0.11142852 0.81364698], train_wt_loss:  38.0808, val_wt_loss: 37.1718, train_grp_loss: [11.02471364 14.47038363 12.80184228], val_grp_loss: [12.23229824 13.83309016 11.10205049], train_hist_grp_loss: [1.26915059 1.66605292 3.65419623], cur_train_grp_loss: [0.08535587 0.12048778 0.25154339], max_reward_err:  0.0275, max_reward_err_index: 1, max_kl_dist:  0.7471, max_kl_dist_index: 2, max_train_grp_loss:  14.4704, max_train_grp_loss_index: 1, max_val_grp_loss:  13.8331, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2515, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:28,858 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  14, train_loss:  12.7144, val_loss:  12.4253, grad_norm: 0.0941, live_grad: 0.0000, reward_err: 0.0078, 0.0298, 0.0029, KL_dist: 0.7360, 0.3705, 0.7587, param: [ 4.2646021   6.47847809  5.87038083 11.88520797], weights: [0.06507807 0.10041227 0.83450966], train_wt_loss:  38.1432, val_wt_loss: 37.2760, train_grp_loss: [10.95075481 14.61530036 12.77443994], val_grp_loss: [12.16445685 14.02206036 11.08468612], train_hist_grp_loss: [1.35395608 1.78765278 3.90521274], cur_train_grp_loss: [0.08480549 0.12159986 0.25101652], max_reward_err:  0.0298, max_reward_err_index: 1, max_kl_dist:  0.7587, max_kl_dist_index: 2, max_train_grp_loss:  14.6153, max_train_grp_loss_index: 1, max_val_grp_loss:  14.0221, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2510, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:29,859 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  15, train_loss:  12.7393, val_loss:  12.4651, grad_norm: 0.1114, live_grad: 0.0000, reward_err: 0.0079, 0.0312, 0.0035, KL_dist: 0.7447, 0.3785, 0.7710, param: [ 4.1872858   6.43004571  5.8617234  12.10983437], weights: [0.05635056 0.09036618 0.85328326], train_wt_loss:  38.2179, val_wt_loss: 37.3954, train_grp_loss: [10.87573613 14.77182698 12.74695823], val_grp_loss: [12.09527098 14.22544748 11.06935617], train_hist_grp_loss: [1.43819265 1.91047043 4.15569196], cur_train_grp_loss: [0.08423658 0.12281765 0.25047921], max_reward_err:  0.0312, max_reward_err_index: 1, max_kl_dist:  0.7710, max_kl_dist_index: 2, max_train_grp_loss:  14.7718, max_train_grp_loss_index: 1, max_val_grp_loss:  14.2254, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2505, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:30,860 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  16, train_loss:  12.7685, val_loss:  12.5100, grad_norm: 0.1301, live_grad: 0.0000, reward_err: 0.0075, 0.0326, 0.0039, KL_dist: 0.7538, 0.3873, 0.7839, param: [ 4.10780612  6.37777035  5.85068778 12.34230605], weights: [0.04865796 0.08125292 0.87008912], train_wt_loss:  38.3055, val_wt_loss: 37.5300, train_grp_loss: [10.80095649 14.93873558 12.71983133], val_grp_loss: [12.02592967 14.4416351  11.05662136], train_hist_grp_loss: [1.52185216 2.03460343 4.40563231], cur_train_grp_loss: [0.08365951 0.124133   0.24994036], max_reward_err:  0.0326, max_reward_err_index: 1, max_kl_dist:  0.7839, max_kl_dist_index: 2, max_train_grp_loss:  14.9387, max_train_grp_loss_index: 1, max_val_grp_loss:  14.4416, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2499, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:31,846 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  17, train_loss:  12.8020, val_loss:  12.5598, grad_norm: 0.1500, live_grad: 0.0000, reward_err: 0.0074, 0.0349, 0.0040, KL_dist: 0.7633, 0.3968, 0.7972, param: [ 4.02698143  6.32196179  5.83760982 12.58023078], weights: [0.04191143 0.07302202 0.88506655], train_wt_loss:  38.4059, val_wt_loss: 37.6795, train_grp_loss: [10.72760673 15.1145652  12.69345584], val_grp_loss: [11.95753166 14.66871103 11.04690471], train_hist_grp_loss: [1.60493644 2.16013902 4.65504077], cur_train_grp_loss: [0.08308428 0.12553559 0.24940846], max_reward_err:  0.0349, max_reward_err_index: 1, max_kl_dist:  0.7972, max_kl_dist_index: 2, max_train_grp_loss:  15.1146, max_train_grp_loss_index: 1, max_val_grp_loss:  14.6687, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2494, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:32,858 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  18, train_loss:  12.8396, val_loss:  12.6143, grad_norm: 0.1709, live_grad: 0.0000, reward_err: 0.0075, 0.0378, 0.0043, KL_dist: 0.7731, 0.4069, 0.8109, param: [ 3.94563891  6.26309705  5.82284665 12.82117022], weights: [0.03602094 0.06561446 0.8983646 ], train_wt_loss:  38.5187, val_wt_loss: 37.8429, train_grp_loss: [10.65672328 15.29766415 12.66817479], val_grp_loss: [11.89104312 14.90452687 11.04047674], train_hist_grp_loss: [1.6874565  2.28715218 4.90393206], cur_train_grp_loss: [0.08252005 0.12701315 0.24889129], max_reward_err:  0.0378, max_reward_err_index: 1, max_kl_dist:  0.8109, max_kl_dist_index: 2, max_train_grp_loss:  15.2977, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9045, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2489, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:33,859 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  19, train_loss:  12.8810, val_loss:  12.6730, grad_norm: 0.1924, live_grad: 0.0000, reward_err: 0.0075, 0.0401, 0.0045, KL_dist: 0.7831, 0.4177, 0.8247, param: [ 3.86458117  6.2017804   5.80676003 13.0627295 ], weights: [0.03089817 0.05896651 0.91013532], train_wt_loss:  38.6431, val_wt_loss: 38.0189, train_grp_loss: [10.58915621 15.48624636 12.64426652], val_grp_loss: [11.82726807 15.14677461 11.0374533 ], train_hist_grp_loss: [1.76943129 2.41570398 5.15232765], cur_train_grp_loss: [0.08197479 0.1285518  0.24839558], max_reward_err:  0.0401, max_reward_err_index: 1, max_kl_dist:  0.8247, max_kl_dist_index: 2, max_train_grp_loss:  15.4862, max_train_grp_loss_index: 1, max_val_grp_loss:  15.1468, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2484, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:34,864 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  20, train_loss:  12.9259, val_loss:  12.7352, grad_norm: 0.2143, live_grad: 0.0000, reward_err: 0.0077, 0.0421, 0.0056, KL_dist: 0.7932, 0.4289, 0.8387, param: [ 3.78455654  6.13869774  5.78970148 13.30264032], weights: [0.02645857 0.05301284 0.9205286 ], train_wt_loss:  38.7778, val_wt_loss: 38.2057, train_grp_loss: [10.5255532  15.67845663 12.62193887], val_grp_loss: [11.76683263 15.39307323 11.0378049 ], train_hist_grp_loss: [1.85088634 2.5458405  5.40025444], cur_train_grp_loss: [0.08145505 0.13013652 0.24792679], max_reward_err:  0.0421, max_reward_err_index: 1, max_kl_dist:  0.8387, max_kl_dist_index: 2, max_train_grp_loss:  15.6785, max_train_grp_loss_index: 1, max_val_grp_loss:  15.3931, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2479, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:35,860 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  21, train_loss:  12.9737, val_loss:  12.8004, grad_norm: 0.2363, live_grad: 0.0000, reward_err: 0.0074, 0.0445, 0.0058, KL_dist: 0.8033, 0.4406, 0.8525, param: [ 3.70623531  6.07457079  5.7720002  13.53883106], weights: [0.0226228  0.04768888 0.92968833], train_wt_loss:  38.9211, val_wt_loss: 38.4011, train_grp_loss: [10.46635898 15.87243906 12.60132884], val_grp_loss: [11.71018304 15.64105743 11.04137562], train_hist_grp_loss: [1.93185213 2.67759224 5.64774344], cur_train_grp_loss: [0.08096579 0.13175174 0.247489  ], max_reward_err:  0.0445, max_reward_err_index: 1, max_kl_dist:  0.8525, max_kl_dist_index: 2, max_train_grp_loss:  15.8724, max_train_grp_loss_index: 1, max_val_grp_loss:  15.6411, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2475, max_cur_train_grp_loss_index: 2, 
